Composer's Name	Death Year
Hâfýz Þeydâ Dede	
Hâfýz Þirâzi	
Hâfýz Yusuf Efendi	1925
Haham Nesim Sivilya	1930
Hakký Bey (Sermüezzin)	1930
Hakký Süha Gezgin	
Hâlid Bey	1920
Halil Biner	
Halil Özkan	
Halil Soyuer	
Halim Efendi	1897
Hâlis Bey	
Halit Bedir Sabarkan	
Halit Çelikoðlu	2012
Halit Uzel	
Haluk Recai	
Hamdi Tüfekçi	
Hamit Çine	
Hammâmîzâde Ýhsan Bey	
Hammâmîzâde Ýsmail Dede	
Hamparsum	1839
Handan Aða	
Hânende Zâhide Haným	
Harputlu Hâfýz Hayrî	1910
Hasan Âli Yücel	1961
Hasan Avcý	
Hasan Durak	
Hasan Esen	
Hasan Fehmi Mutel	
Hasan Ferit Alnar	1978
Hasan Kaya Manioðlu	
Hasan Özcan Balým	
Hasan Özçivi	1986
Hasan Refik Bey	
Hasan Soysal	
Hasan Tepeli	
Hasan Tunç	
Hasbî	
Hasib Dede (Erzurumlu)	
Hasip Terlemez	
Hâþim	1868
Hâþim Bey	1868
Hatibzâde Ýbrahim Efendi	1880
Hatibzâde Osman Efendi	
Hatîbzâkirî Hasan Efendi	1623
Haydar Tatlýyay	1963
Hayri Mumcu	
Hayri Yenigün	1979
Heinrich Lange	
Hengâmî	
Hýzýr Aða	1795
Hikmet Münir Ebcioðlu	1985
Hikmet Þinasi Önol	
Hikmet Zeynep Bone	
Hilmi Özgen	
Hilmi Soykut	1974
Hisarlý Ahmet	
Hristaki	
Hristo Efendi	
Hulusi Babalýk	
Hüceste Aksavrýn	
Hülya Þenkul	
Hüsamettin Olgun	
Hüseyin Aktekin	
Hüseyin Arsal	
Hüseyin Avni Bey	
Hüseyin Aydýn Kaya	
Hüseyin Bilgiç	
Hüseyin Coþkuner	
Hüseyin Dilâver	
Hüseyin Fahreddin Dede	1911
Hüseyin Gökmen	1982
Hüseyin Kýrmýzýgül	
Hüseyin Mayadað	1965
Hüseyin Rýfat Iþýl	
Hüseyin Sadettin Arel	1955
Hüseyin Sîret Özsever	
Hüseyin Yurdabak	
Hüsnü Kayýran	
Hüsnü Ortaç	
Hz. Ömer	
I. Mahmud (Sebkatî)	1754
II. Bayezid	1512
II. Mahmut (Adlî)	1839
II. Mehmet	
III. Murat	
III. Selim (Ýlhâmî)	1808
Itrî	1711
IV. Murad	1640
Ýbrahim Aða	1740
Ýbrahim Aða (Þerbetçi)	
Ýbrahim Akçam	
Ýbrahim Bakýr	
Ýbrahim Bodur	
Ýbrahim Efendi	
Ýbrahim Efendi (Na'lizâde)	
Ýbrahim Emici	
Ýbrahim Halil Taþkent	
Ýbrahim Kalyon	
Ýbrahim Özoral	
Ýbrahim Yýldýrým	
Ýclal Ataç	
Ýhsan Bey	
Ýhsan Ozanoðlu	
Ýhsan Raif Haným	
Ýlgün Soysev	
Ýlham Behlül Pektaþ	
Ýlhan Seçkin	
Ýlkan San	
Ýlya Efendi	1799
Ýrfan Doðrusöz	2003
Ýrfan Özbakýr	2003
Ýsak Varon	1962
Ýslam Rýza	
Ýsmail Âsým Efendi	
Ýsmail Baha Sürelsan	1998
Ýsmail Çalgý	
Ýsmail Dede	
Ýsmail Demirkýran	
Ýsmail Efendi	
Ýsmail Fenni Ertuðrul	
Ýsmail Gökçe	
Ýsmail Hakký Bey	
Ýsmail Hakký Nebiloðlu	1965
Ýsmail Ötenkaya	
Ýsmail Yaþar Sâdi	
Ýsmail Züftü	1924
Ýsmet Aða	1870
Ýsmet Bozdað	
Ýsmet Burkay	
Ýsmet Doðru	
Ýsmet Nedim Saatçi	
Ýzzet Altýnbaþ	
Ýzzet Altýnmeþe	
Ýzzet Molla	
K. Hâfýz Yaþar	
K. Yazgan	
Kadý Mehmet Riyâzî	
Kadýköylü Ali Bey	
Kadir Ýnanýr	
Kadir Üstündað	
Kadri Þençalar	1989
Kâmil	
Kâmil Çiftçi	
Kâmil Nizam Bigalý	
Kâmil Yurdal	
Kâmuran Özbir	
Kâmuran Yarkýn	
Kâni Karaca	2004
Kanposoðlu Mehmet Çelebi	1700
Kantemiroðlu	1723
Kanuni Edhem Efendi	
Kanunî Garbis Efendi	1925
Kânûnî Hacý Ârif Bey	1911
Kanunî Mehmed Bey	1927
Kanunî Nâzým Bey	1921
Kanunî Ömer Efendi	1870
Kanûnî Sait Efendi	
Kanûnî Sultan Süleyman	
Kaptanzâde Ali Rýza Bey	1934
Kara Ýsmail Aða	1724
Karabet Efendi (Hacý)	1915
Karac´oðlan	
Karnik Garmiryan	
Kâsým Ýnaltekin	2005
Kassamzâde Mehmet Efendi	1758
Katip Çelebi	
Kayhan Þentin	
Kazasker Mustafa Ýzzet Efendi	1876
Kâzým Nami Erdölen	
Kâzým Uz (Muallim)	1943
Keçi Ârif Aða	
Kemal Altýnkaya	
Kemal Batanay	1981
Kemal Çýðrýk	
Kemal Emin Bara	1957
Kemal Gürses	
Kemal Ýlerici	1986
Kemal Niyazi Seyhun	
Kemal Selimoðlu	
Kemal Þakir Yakar	
Kemalettin Kamu	1948
Kemânî Ali Aða	1830
Kemânî Hamza	
Kemanî Mustafa Aða	1840
Kemânî Rýza Efendi	1852
Kemânî Salih Efendi	1923
Kemânî Sarkis Efendi	1944
Kemânî Sebuh	1894
Kemânî Þâdiye Haným	
Kemençeci Aleko	
Kemençeci Nikolâki	
Kemençeci Usta Yani	
Kenan Þavklý	2010
Kerem Güney	
Kesriyeli Sýdký Bey	
Kevser Haným	
Kýptî Hüsnü Efendi	
Kýymet Haným	
Kirkor Ciðercioðlu	
Klarnet Ýbrahim Efendi	1925
Koca Osman Efendi (Kasýmpaþalý)	1650
Kömürcüzâde Hâfýz Mehmed Ef.	1835
Köroðlu	
Kul Himmet	
Kul Mehmet	
Kul Nesîmî	
Kutbî Dede	1914
Küçük Mehmed Aða	1809
Lâmi Güray	
Lâtif Aða	1889
Lavtacý	
Lavtacý Andon	1925
Lavtacý Hristo	1914
Lavtacý Ovrik	1936
Lem´i Atlý	1945
Leon Hancýyan	1947
Leylâ Saz	1936
Lütfi Fikret German	
M. Faruk Gürtunca	
M. Kaya Manioðlu	
M. Müeyyet Berkman	
M. Nihat Etiz	
M. Rauf Alanyalý	
M. Turan Yarar	
Mahfî	
Mahmud Celâleddin Paþa	1899
Mahmut Çelebi (Diyarbakýrlý)	1680
Mahmut Güzelgöz	
Mahmut Karman	
Mahmut Nedim Güntel	
Mahmut Oðul	
Manok Aða	1927
Manol Efendi	1902
Markar Aða	1880
Marko Çolakoðlu (Udî)	1957
Mazhar Bey	
Mecdinevin Tanrýkorur	
Medenî Aziz Efendi	1895
Mediha Þen Sancakoðlu	
Mehmed Aða	
Mehmed Celâleddin Dede	1907
Mehmed Efendi	
Mehmed Hafîd Bey	
Mehmed Rahmi Bey	
Mehmed Zekâi Dede Efendi	
Mehmet Aða	
Mehmet Âkif Ersoy	1936
Mehmet Baha Pars	
Mehmet Cemil Bey	
Mehmet Çakýrtaþ	
Mehmet Çelebi (Küçük Müezzin)	
Mehmet Çelikkanat	
Mehmet Çýnarlý	
Mehmet Erbulan	2006
Mehmet Gökkaya	
Mehmet Ilgýn	
Mehmet Ýhsan Özer	
Mehmet Ýpek	
Mehmet Kâmil Çelebi	
Mehmet Nasûhî Efendi	
Mehmet Polat	
Mehmet Sâdi Bey	1904
Mehmet Toptan	
Mehveþ Haným	1976
Melahat Akan	
Melahat Pars	2005
Melek Hiç	
Melih Kibar	
Memduha Olgun	
Mesih Bey	
Mesut Cemil	1963
Mesut Kaçaralp	1972
Mete Aslan	
Mevlânâ	1273
Mýsýrlý Udî Ýbrahim Efendi	1933
Mihrî	
Mildan Niyazi Ayomak	1947
Mîr Cemil	
Mithat Ömer Karakoyun	
Molla Mehmet Efendi	
Muallâ Ozan (Anýl)	
Muallim Ýsmail Hakký Bey	1927
Muazzez Kürdan	
Muazzez Turing	
Muhammet Yýldýrýr	
Muharrem Akkuþ	
Muharrem Naci Sayan	
Muhiyittin Raif Yengin	
Muhlis Sabahaddin Ezgi	1947
Mûnis Fâik Ozansoy	
Murat Aða (Þeþtari)	
Murat Demirhan	
Murat Karabað	
Musa Süreyya Bey	1932
Musâhib Ahmed Aða	
Musallih Efendi	
Mûsî (Tanburi Haham)	1776
Muslih Efendi	
Mustafa Ataç	
Mustafa Bilgiç	
Mustafa Coþkun	
Mustafa Çalýk	
Mustafa Çelik	
Mustafa Güler	
Mustafa Hoþsu	
Mustafa Ýsmet Efendi	
Mustafa Ýzzet Efendi	
Mustafa Nafiz Irmak	1975
Mustafa Nuri Bey (Hacý)	
Mustafa Reþit Bey	
Mustafa Saðyaþar	
Mustafa Savaþ	
Mustafa Sevilen	
Mustafa Seyran	1973
Mustafa Sunar	1961
Mustafa Töngemen	
Musullu Hâfýz Osman Efendi	1920
Mutlu Torun	
Muzaffer Akalýn	
Muzaffer Ýlkar	1987
Muzaffer Özden	
Muzaffer Sarýsözen	1963
Mücellâ Uçkun	
Mümin Aða	1650
Mümin Salman	
Mümtaz Osman (Nâzým Hikmet)	
Münevver Altýntaþ	
Münir Mazhar Kamsoy	1973
Münir Nurettin Selçuk	1981
Münîre Aksaray	
Münire Tarabuþ	
Müslim Aydoðdu	
Müzehher Güyer	
Müzeyyen Haným	
N. Rýza Efe	
Nâbi	
Naci Öncel	
Nâfiz	
Nahit Hilmi Özeren	
Nâil Memik	
Namýk Kemal	1888
Namýk Uyumaz	
Nasib´in Mehmet Yürü	1953
Nasuhi	
Nâyî Emin Dede	1945
Nâyî Osman Dede	1730
Nâzým Hikmet	1963
Nazif	
Nazif Girgin	
Nazif Sürûri Bey	
Nazîm Efendi	
Nazmi Atlýð	
Nazmi Özalp	
Nazmi Yükselen	
Nazmi Zülfikâr	
Necati Coþkun	
Necati Tokyay	
Necdet Atýlgan	
Necdet Dönmez	
Necdet Rüþtü Efe	
Necdet Tanlak	
Necdet Tokatlýoðlu	
Necdet Varol	
Necip Celal Andel	1957
Necip Mirkelâmoðlu	2010
Neclâ Gürer	
Necmi Kýran	
Necmi Necmettin Güngörmüþ	
Necmi Piþkin	
Nedîm	1730
Nedim Aða	1850
Nedim Güntel	
Nef`î	1635
Nefirî Behram Aða	1560
Nefîse Özses	
Nejat Buhara	
Neþet Ertaþ	2012
Nev`î	
Nev´eser Kökdeþ	1962
Nevres Bey	
Nevres Paþa	1872
Nevres-i Cedîd	
